Code,Relative value,pc/tc splits,schedule
82017,27.11,0/100,medical
82024,55.45,0/100,medical
82030,43.13,0/100,medical
82040,8.01,0/100,medical
82042,9.86,0/100,medical
82043,21.56,0/100,medical
82044,11.09,0/100,medical
82045,44.35,0/100,medical
82075,11.09,0/100,medical
82085,18.48,0/100,medical
82088,49.29,0/100,medical
82103,24.64,0/100,medical
82104,33.89,0/100,medical
82105,28.96,0/100,medical
82106,28.96,0/100,medical
82107,33.89,0/100,medical
82108,36.97,0/100,medical
82120,5.03,0/100,medical
82127,17.87,0/100,medical
82128,17.87,0/100,medical
82131,83.17,0/100,medical
82135,27.11,0/100,medical
82136,83.17,0/100,medical
82139,83.17,0/100,medical
82140,21.56,0/100,medical
82143,22.80,0/100,medical
82150,9.86,0/100,medical
82154,40.05,0/100,medical
82157,36.97,0/100,medical
82160,40.05,0/100,medical
82163,36.97,0/100,medical
82164,30.81,0/100,medical
82172,20.33,0/100,medical
82175,33.89,0/100,medical
82180,17.87,0/100,medical
82190,36.97,0/100,medical
82232,33.89,0/100,medical
82239,19.72,0/100,medical
82240,43.74,0/100,medical
82247,8.01,0/100,medical
82248,8.01,0/100,medical
82252,5.54,0/100,medical
82261,8.63,0/100,medical
82270,6.16,0/100,medical
82271,5.54,0/100,medical
82272,5.54,0/100,medical
82274,30.81,0/100,medical
82286,49.29,0/100,medical
82300,33.89,0/100,medical
82306,46.21,0/100,medical
82308,47.44,0/100,medical
82310,8.01,0/100,medical
82330,22.80,0/100,medical
82331,9.86,0/100,medical
82340,9.86,0/100,medical
82355,21.56,0/100,medical
82360,23.41,0/100,medical
82365,23.41,0/100,medical
82370,21.56,0/100,medical
82373,21.56,0/100,medical
82374,8.01,0/100,medical
82375,20.95,0/100,medical
82376,7.39,0/100,medical
82378,32.04,0/100,medical
82379,32.04,0/100,medical
82380,18.48,0/100,medical
82382,32.04,0/100,medical
82383,46.21,0/100,medical
82384,46.21,0/100,medical
82387,43.13,0/100,medical
82390,19.72,0/100,medical
82397,22.80,0/100,medical
82415,30.81,0/100,medical
82435,8.01,0/100,medical
82436,8.63,0/100,medical
82438,8.63,0/100,medical
82441,22.18,0/100,medical
82465,8.32,0/100,medical
82480,14.79,0/100,medical
82482,22.18,0/100,medical
82485,36.97,0/100,medical
82495,36.97,0/100,medical
82507,46.21,0/100,medical
82523,52.00,0/100,medical
82525,24.64,0/100,medical
82528,36.97,0/100,medical
82530,33.89,0/100,medical
82533,28.96,0/100,medical
82540,8.93,0/100,medical
82542,24.64,0/100,medical
82550,9.24,0/100,medical
82552,24.64,0/100,medical
82553,11.40,0/100,medical
82554,21.56,0/100,medical
82565,8.01,0/100,medical
82570,9.86,0/100,medical
82575,17.87,0/100,medical
82585,12.32,0/100,medical
82595,12.32,0/100,medical
82600,24.64,0/100,medical
82607,24.64,0/100,medical
82608,28.34,0/100,medical
82610,17.93,0/100,medical
82615,18.48,0/100,medical
82626,42.82,0/100,medical
82627,36.97,0/100,medical
82633,49.29,0/100,medical
82634,43.13,0/100,medical
82638,17.25,0/100,medical
82652,49.29,0/100,medical
82656,15.10,0/100,medical
82657,23.59,0/100,medical
82658,25.88,0/100,medical
82664,28.34,0/100,medical
82668,40.05,0/100,medical
82670,28.96,0/100,medical
82671,51.75,0/100,medical
82672,36.97,0/100,medical
82677,26.49,0/100,medical
82679,40.05,0/100,medical
82693,30.81,0/100,medical
82696,43.13,0/100,medical
82705,9.24,0/100,medical
82710,34.50,0/100,medical
82715,14.79,0/100,medical
82725,14.79,0/100,medical
82726,23.59,0/100,medical
82728,22.80,0/100,medical
82731,22.80,0/100,medical
82735,26.49,0/100,medical
82746,25.26,0/100,medical
82747,30.19,0/100,medical
82757,16.02,0/100,medical
82759,19.72,0/100,medical
82760,20.33,0/100,medical
82775,25.88,0/100,medical
82776,8.32,0/100,medical
82777,39.75,0/100,medical
82784,20.95,0/100,medical
82785,26.49,0/100,medical
82787,65.92,0/100,medical
82800,16.02,0/100,medical
82803,31.42,0/100,medical
82805,33.89,0/100,medical
82810,17.25,0/100,medical
82820,21.56,0/100,medical
82930,10.47,0/100,medical
82938,30.19,0/100,medical
82941,30.19,0/100,medical
82943,36.35,0/100,medical
82945,26.49,0/100,medical
82946,20.33,0/100,medical
82947,8.01,0/100,medical
82948,6.16,0/100,medical
82950,10.47,0/100,medical
82951,22.80,0/100,medical
82952,6.16,0/100,medical
82955,23.41,0/100,medical
82960,12.32,0/100,medical
82962,6.16,0/100,medical
82963,30.81,0/100,medical
82965,8.63,0/100,medical
82977,8.01,0/100,medical
82978,21.56,0/100,medical
82979,15.40,0/100,medical
82985,12.94,0/100,medical
83001,30.81,0/100,medical
83002,30.81,0/100,medical
83003,30.81,0/100,medical
83006,67.87,0/100,medical
83009,88.07,0/100,medical
83010,22.80,0/100,medical
83012,24.64,0/100,medical
83013,88.07,0/100,medical
83014,10.38,0/100,medical
83015,40.66,0/100,medical
83018,43.13,0/100,medical
83020,23.10,30/70,medical
83021,30.81,0/100,medical
83026,5.54,0/100,medical
83030,16.02,0/100,medical
83033,9.24,0/100,medical
83036,16.63,0/100,medical
83037,15.40,0/100,medical
83045,6.16,0/100,medical
83050,7.39,0/100,medical
83051,8.01,0/100,medical
83060,14.17,0/100,medical
83065,4.93,0/100,medical
83068,6.78,0/100,medical
83069,4.93,0/100,medical
83070,7.39,0/100,medical
83080,19.10,0/100,medical
83088,47.44,0/100,medical
83090,17.87,0/100,medical
83150,30.81,0/100,medical
83491,36.35,0/100,medical
83497,28.96,0/100,medical
83498,41.89,0/100,medical
83500,30.81,0/100,medical
83505,40.05,0/100,medical
83516,19.72,0/100,medical
83518,12.32,0/100,medical
83519,25.88,0/100,medical
83520,22.18,0/100,medical
83525,24.03,0/100,medical
83527,27.11,0/100,medical
83528,32.04,0/100,medical
83540,8.01,0/100,medical
83550,10.78,0/100,medical
83570,14.79,0/100,medical
83582,25.26,0/100,medical
83586,24.64,0/100,medical
83593,54.22,0/100,medical
83605,19.72,0/100,medical
83615,8.32,0/100,medical
83625,24.64,0/100,medical
83630,18.48,0/100,medical
83631,21.56,0/100,medical
83632,39.43,0/100,medical
83633,7.39,0/100,medical
83655,15.40,0/100,medical
83661,53.11,0/100,medical
83662,15.40,0/100,medical
83663,15.40,0/100,medical
83664,15.40,0/100,medical
83670,22.18,0/100,medical
83690,14.17,0/100,medical
83695,11.71,0/100,medical
83698,21.56,0/100,medical
83700,19.10,0/100,medical
83701,24.64,0/100,medical
83704,27.72,0/100,medical
83718,11.71,0/100,medical
83719,12.94,0/100,medical
83721,12.32,0/100,medical
83727,33.89,0/100,medical
83735,8.63,0/100,medical
83775,14.17,0/100,medical
83785,36.97,0/100,medical
83789,27.72,0/100,medical
83825,32.04,0/100,medical
83835,32.04,0/100,medical
83857,18.48,0/100,medical
83861,21.70,0/100,medical
83864,18.48,0/100,medical
83872,8.01,0/100,medical
83873,33.89,0/100,medical
83874,27.72,0/100,medical
83876,24.64,0/100,medical
83880,36.97,0/100,medical
83883,22.80,0/100,medical
83885,32.96,0/100,medical
83915,17.25,0/100,medical
83916,29.57,0/100,medical
83918,46.21,0/100,medical
83919,30.81,0/100,medical
83921,30.81,0/100,medical
83930,9.24,0/100,medical
83935,13.55,0/100,medical
83937,44.36,0/100,medical
83945,22.18,0/100,medical
83950,32.04,0/100,medical
83951,98.58,0/100,medical
83970,49.29,0/100,medical
83986,6.78,0/100,medical
83987,6.16,0/100,medical
83992,30.81,0/100,medical
83993,33.27,0/100,medical
84030,8.63,0/100,medical
84035,6.16,0/100,medical
84060,15.40,0/100,medical
84066,20.33,0/100,medical
84075,8.32,0/100,medical
84078,15.09,0/100,medical
84080,26.49,0/100,medical
84081,36.97,0/100,medical
84085,16.02,0/100,medical
84087,17.25,0/100,medical
84100,8.01,0/100,medical
84105,9.86,0/100,medical
84106,11.71,0/100,medical
84110,15.40,0/100,medical
84112,17.87,0/100,medical
84119,16.02,0/100,medical
84120,28.96,0/100,medical
84126,27.72,0/100,medical
84132,8.01,0/100,medical
84133,8.63,0/100,medical
84134,18.48,0/100,medical
84135,30.81,0/100,medical
84138,30.81,0/100,medical
84140,36.97,0/100,medical
84143,36.97,0/100,medical
84144,30.81,0/100,medical
84145,34.91,0/100,medical
84146,30.81,0/100,medical
84150,33.89,0/100,medical
84152,30.81,0/100,medical
84153,30.81,0/100,medical
84154,30.81,0/100,medical
84155,8.01,0/100,medical
84156,8.01,0/100,medical
84157,8.01,0/100,medical
84160,6.16,0/100,medical
84163,19.82,0/100,medical
84165,22.18,20/80,medical
84166,22.18,20/80,medical
84181,33.89,30/70,medical
84182,49.29,30/70,medical
84202,19.72,0/100,medical
84203,10.78,0/100,medical
84206,46.21,0/100,medical
84207,46.21,0/100,medical
84210,22.18,0/100,medical
84220,18.48,0/100,medical
84228,24.64,0/100,medical
84233,43.74,0/100,medical
84234,43.74,0/100,medical
84235,43.74,0/100,medical
84238,61.61,0/100,medical
84244,39.43,0/100,medical
84252,25.88,0/100,medical
84255,30.81,0/100,medical
84260,56.68,0/100,medical
84270,32.65,0/100,medical
84275,19.72,0/100,medical
84285,41.89,0/100,medical
84295,8.01,0/100,medical
84300,8.63,0/100,medical
84302,8.63,0/100,medical
84305,46.21,0/100,medical
84307,33.89,0/100,medical
84311,13.55,0/100,medical
84315,4.31,0/100,medical
84375,24.64,0/100,medical
84376,7.23,0/100,medical
84377,7.23,0/100,medical
84378,15.10,0/100,medical
84379,15.10,0/100,medical
84392,7.61,0/100,medical
84402,35.12,0/100,medical
84403,28.96,0/100,medical
84410,56.88,0/100,medical
84425,33.89,0/100,medical
84430,21.56,0/100,medical
84431,22.02,0/100,medical
84432,30.81,0/100,medical
84436,11.09,0/100,medical
84437,12.32,0/100,medical
84439,18.48,0/100,medical
84442,21.56,0/100,medical
84443,25.88,0/100,medical
84445,80.09,0/100,medical
84446,24.64,0/100,medical
84449,29.57,0/100,medical
84450,8.63,0/100,medical
