Code,Description,Basic Unit,schedule
934,Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal lymphadenectomy,6.0,medical
936,Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal and iliac lymphadenectomy,8.0,medical
938,Anesthesia for procedures on male genitalia (including open urethral procedures); insertion of penile prosthesis (perineal approach),4.0,medical
940,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); not otherwise specified",3.0,medical
942,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); colpotomy, vaginectomy, colporrhaphy, and open urethral procedures",4.0,medical
944,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); vaginal hysterectomy",6.0,medical
948,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); cervical cerclage",4.0,medical
950,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); culdoscopy",5.0,medical
952,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); hysteroscopy and/or hysterosalpingography",4.0,medical
1112,"Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest",5.0,medical
1120,Anesthesia for procedures on bony pelvis,6.0,medical
1130,Anesthesia for body cast application or revision,3.0,medical
1140,Anesthesia for interpelviabdominal (hindquarter) amputation,15.0,medical
1150,"Anesthesia for radical procedures for tumor of pelvis, except hindquarter amputation",10.0,medical
1160,Anesthesia for closed procedures involving symphysis pubis or sacroiliac joint,4.0,medical
1170,Anesthesia for open procedures involving symphysis pubis or sacroiliac joint,8.0,medical
1173,Anesthesia for open repair of fracture disruption of pelvis or column fracture involving acetabulum,12.0,medical
1200,Anesthesia for all closed procedures involving hip joint,4.0,medical
1202,Anesthesia for arthroscopic procedures of hip joint,4.0,medical
1210,Anesthesia for open procedures involving hip joint; not otherwise specified,6.0,medical
1212,Anesthesia for open procedures involving hip joint; hip disarticulation,10.0,medical
1214,Anesthesia for open procedures involving hip joint; total hip arthroplasty,8.0,medical
1215,Anesthesia for open procedures involving hip joint; revision of total hip arthroplasty,10.0,medical
1220,Anesthesia for all closed procedures involving upper two-thirds of femur,4.0,medical
1230,"Anesthesia for open procedures involving upper two-thirds of femur, not otherwise specified",6.0,medical
1232,Anesthesia for open procedures involving upper two-thirds of femur; amputation,5.0,medical
1234,"Anesthesia for open procedures involving upper two-thirds of femur, radical resection",8.0,medical
1250,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of upper leg",4.0,medical
1260,"Anesthesia for all procedures involving veins of upper leg, including exploration",3.0,medical
1270,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; not otherwise specified",8.0,medical
1272,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery ligation",4.0,medical
1274,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery embolectomy",6.0,medical
1320,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of knee and/or popliteal area",4.0,medical
1340,Anesthesia for all closed procedures on lower one-third of femur,4.0,medical
1360,Anesthesia for all open procedures on lower one-third of femur,5.0,medical
1380,Anesthesia for all closed procedures on knee joint,3.0,medical
1382,Anesthesia for diagnostic arthroscopic procedures of knee joint,3.0,medical
1390,"Anesthesia for all closed procedures on upper ends of tibia, fibula, and/or patella",3.0,medical
1392,"Anesthesia for all open procedures on upper ends of tibia, fibula, and/or patella",4.0,medical
1400,Anesthesia for open or surgical arthroscopic procedures on knee joint; not otherwise specified,4.0,medical
1402,Anesthesia for open or surgical arthroscopic procedures on knee joint; total knee arthroplasty,7.0,medical
1404,Anesthesia for open or surgical arthroscopic procedures on knee joint; disarticulation at knee,5.0,medical
1420,"Anesthesia for all cast applications, removal, or repair involving knee joint",3.0,medical
1430,Anesthesia for procedures on veins of knee and popliteal area; not otherwise specified,3.0,medical
1432,Anesthesia for procedures on veins of knee and popliteal area; arteriovenous fistula,6.0,medical
1440,Anesthesia for procedures on arteries of knee and popliteal area; not otherwise specified,8.0,medical
1442,"Anesthesia for procedures on arteries of knee and popliteal area; popliteal thromboendarterectomy, with or without patch graft",8.0,medical
1444,Anesthesia for procedures on arteries of knee and popliteal area; popliteal excision and graft or repair for occlusion or aneurysm,8.0,medical
1462,"Anesthesia for all closed procedures on lower leg, ankle, and foot",3.0,medical
1464,Anesthesia for arthroscopic procedures of ankle and/or foot,3.0,medical
1470,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; not otherwise specified",3.0,medical
1472,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; repair of ruptured Achilles tendon, with or without graft",5.0,medical
1474,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; gastrocnemius recession (eg, Strayer procedure)",5.0,medical
1480,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; not otherwise specified",3.0,medical
1482,"Anesthesia for open procedures on bones of lower leg, ankle, and foot, radical resection (including below knee amputation)",4.0,medical
1484,"Anesthesia for open procedures on bones of lower leg, ankle, and foot, osteotomy or osteoplasty of tibia and/or fibula",4.0,medical
1486,"Anesthesia for open procedures on bones of lower leg, ankle, and foot, total ankle replacement",7.0,medical
1490,"Anesthesia for lower leg cast application, removal, or repair",3.0,medical
1500,"Anesthesia for procedures on arteries of lower leg, including bypass graft, not otherwise specified",8.0,medical
1502,"Anesthesia for procedures on arteries of lower leg, including bypass graft, embolectomy, direct or with catheter",6.0,medical
1520,Anesthesia for procedures on veins of lower leg; not otherwise specified,3.0,medical
1522,"Anesthesia for procedures on veins of lower leg; venous thrombectomy, direct or with catheter",5.0,medical
1610,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of shoulder and axilla",5.0,medical
1620,"Anesthesia for all closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint",4.0,medical
1622,Anesthesia for diagnostic arthroscopic procedures of shoulder joint,4.0,medical
1630,"Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; not otherwise specified",5.0,medical
1634,"Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; shoulder disarticulation",9.0,medical
1636,"Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; interthoracoscapular (forequarter) amputation",15.0,medical
1638,"Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; total shoulder replacement",10.0,medical
1650,Anesthesia for procedures on arteries of shoulder and axilla; not otherwise specified,6.0,medical
1652,Anesthesia for procedures on arteries of shoulder and axilla; axillary-brachial aneurysm,10.0,medical
1654,Anesthesia for procedures on arteries of shoulder and axilla; bypass graft,8.0,medical
1656,Anesthesia for procedures on arteries of shoulder and axilla; axillary-femoral bypass graft,10.0,medical
1670,Anesthesia for all procedures on veins of shoulder and axilla,4.0,medical
1680,"Anesthesia for shoulder cast application, removal or repair, not otherwise specified",3.0,medical
1710,"Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; not otherwise specified",3.0,medical
1712,"Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenotomy, elbow to shoulder, open",5.0,medical
1714,"Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenoplasty, elbow to shoulder",5.0,medical
1716,"Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenodesis, rupture of long tendon of biceps",5.0,medical
1730,Anesthesia for all closed procedures on humerus and elbow,3.0,medical
1732,Anesthesia for diagnostic arthroscopic procedures of elbow joint,3.0,medical
1740,Anesthesia for open or surgical arthroscopic procedures of the elbow; not otherwise specified,4.0,medical
1742,Anesthesia for open or surgical arthroscopic procedures of the elbow; osteotomy of humerus,5.0,medical
1744,Anesthesia for open or surgical arthroscopic procedures of the elbow; repair of nonunion or malunion of humerus,5.0,medical
1756,Anesthesia for open or surgical arthroscopic procedures of the elbow; radical procedures,6.0,medical
