Code,Relative Value,PC/TC Split,schedule
29891,10.45,,podiatry
29892,12.27,,podiatry
29893,2.56,,podiatry
29894,7.51,,podiatry
29895,7.11,,podiatry
29897,7.11,,podiatry
29898,7.77,,podiatry
29899,9.83,,podiatry
29904,8.07,,podiatry
29905,8.80,,podiatry
29906,8.80,,podiatry
29907,9.32,,podiatry
29999,BR,,podiatry
64450,0.35,,podiatry
64455,0.23,,podiatry
64632,0.82,,podiatry
64640,0.82,,podiatry
64702,2.73,,podiatry
64704,3.27,,podiatry
64722,4.18,,podiatry
64726,1.82,,podiatry
64727,2.80,,podiatry
64774,2.09,,podiatry
64776,2.18,,podiatry
64778,0.89,,podiatry
64782,2.91,,podiatry
64783,1.45,,podiatry
64787,3.18,,podiatry
64788,3.27,,podiatry
64831,3.41,,podiatry
64832,2.27,,podiatry
64834,3.73,,podiatry
64837,2.27,,podiatry
64890,5.91,,podiatry
64891,7.27,,podiatry
64895,8.91,,podiatry
64896,10.91,,podiatry
64901,2.95,,podiatry
64902,4.45,,podiatry
64910,4.55,,podiatry
64911,5.36,,podiatry
