code,relative value,pc/tc split,schedule
19366,8.86,,medical
19367,21.00,,medical
19368,24.00,,medical
19369,20.67,,medical
19370,4.50,,medical
19371,7.00,,medical
19380,3.85,,medical
19396,0.45,,medical
19499,BR,,medical
20005,0.60,,medical
20100,5.12,,medical
20101,6.99,,medical
20102,6.05,,medical
20103,5.41,,medical
20150,6.73,,medical
20200,0.70,,medical
20205,1.40,,medical
20206,0.25,,medical
20220,0.80,,medical
20225,2.02,,medical
20240,1.71,,medical
20245,2.90,,medical
20250,5.00,,medical
20251,3.00,,medical
20500,0.25,,medical
20501,0.25,,medical
20520,0.60,,medical
20525,2.60,,medical
20526,0.31,,medical
20527,0.75,,medical
20550,0.44,,medical
20551,0.44,,medical
20552,0.47,,medical
20553,0.52,,medical
20555,2.17,,medical
20600,0.28,,medical
20604,0.71,,medical
20605,0.31,,medical
20606,0.79,,medical
20610,0.25,,medical
20611,0.89,,medical
20612,0.31,,medical
20615,0.80,,medical
20650,0.70,,medical
20660,2.00,,medical
20661,2.00,,medical
20662,2.00,,medical
20663,2.00,,medical
20664,5.36,,medical
20665,0.20,,medical
20670,0.35,,medical
20680,2.40,,medical
20690,3.52,,medical
20692,4.92,,medical
20693,2.59,,medical
20694,1.97,,medical
20696,7.25,,medical
20697,8.59,,medical
20802,35.30,,medical
20805,43.20,,medical
20808,53.71,,medical
20816,26.48,,medical
20822,21.89,,medical
20824,26.48,,medical
20827,22.51,,medical
20838,35.30,,medical
20900,1.60,,medical
20902,3.20,,medical
20910,3.20,,medical
20912,3.42,,medical
20920,1.30,,medical
20922,2.70,,medical
20924,2.17,,medical
20926,2.07,,medical
20930,1.19,,medical
20931,1.45,,medical
20936,1.81,,medical
20937,3.16,,medical
20938,3.93,,medical
20939,0.71,,medical
20950,0.72,,medical
20955,15.53,,medical
20956,15.53,,medical
20957,15.53,,medical
20962,11.64,,medical
20969,15.53,,medical
20970,15.53,,medical
20972,20.70,,medical
20973,22.05,,medical
20974,2.59,,medical
20975,4.14,,medical
20979,2.59,,medical
20982,4.05,,medical
20983,59.06,,medical
20985,0.83,,medical
20999,BR,,medical
21010,11.46,,medical
21011,1.86,,medical
21012,1.97,,medical
21013,3.31,,medical
21014,3.52,,medical
21015,4.36,,medical
21016,7.45,,medical
21025,7.16,,medical
21026,7.67,,medical
21029,8.59,,medical
21030,13.54,,medical
21031,3.95,,medical
21032,3.95,,medical
21034,13.63,,medical
21040,4.86,,medical
21044,8.20,,medical
21045,13.63,,medical
21046,14.28,,medical
21047,15.73,,medical
21048,14.28,,medical
21049,15.73,,medical
21050,11.76,,medical
21060,11.76,,medical
21070,11.76,,medical
21073,2.07,,medical
21076,7.87,,medical
21077,19.79,,medical
21079,13.11,,medical
21080,14.72,,medical
21081,13.42,,medical
21082,12.24,,medical
