Code,Relative_value,pc/tc split,schedule
77336,3.37,0/100,medical
77338,12.11,47/53,medical
77370,5.25,0/100,medical
77371,40.65,0/100,medical
77372,30.86,0/100,medical
77373,57.54,0/100,medical
77385,14.64,,medical
77386,14.69,,medical
77387,2.74,39/61,medical
77399,BR,,medical
77401,2.19,0/100,medical
77402,2.23,0/100,medical
77407,2.87,0/100,medical
77412,3.65,0/100,medical
77417,2.22,0/100,medical
77423,3.21,0/100,medical
77424,0.00,,medical
77425,0.00,,medical
77427,9.24,,medical
77431,2.96,,medical
77432,25.83,,medical
77435,37.00,,medical
77469,12.79,,medical
77470,25.71,30/70,medical
77499,BR,,medical
77520,BR,0/100,medical
77522,BR,0/100,medical
77523,BR,0/100,medical
77525,BR,0/100,medical
77600,10.61,50/50,medical
77605,14.28,50/50,medical
77610,8.06,50/50,medical
77615,11.73,50/50,medical
77620,6.89,50/50,medical
77750,12.75,85/15,medical
77761,10.66,75/25,medical
77762,15.76,75/25,medical
77763,21.66,80/20,medical
77767,9.57,24/76,medical
77768,15.03,20/80,medical
77770,6.76,38/62,medical
77771,20.27,29/71,medical
77772,30.14,30/70,medical
77778,31.88,80/20,medical
77789,2.63,80/20,medical
77790,3.32,80/20,medical
77799,BR,,medical
78012,3.50,11/89,medical
78013,8.30,9/91,medical
78014,10.44,10/90,medical
78015,5.74,30/70,medical
78016,6.09,30/70,medical
78018,9.56,30/70,medical
78020,1.91,30/70,medical
78070,2.55,30/70,medical
78071,15.46,16/84,medical
78072,17.90,18/82,medical
78075,3.83,30/70,medical
78099,BR,,medical
78102,4.46,25/75,medical
78103,7.01,25/75,medical
78104,7.65,25/75,medical
78110,2.55,25/75,medical
78111,3.83,25/75,medical
78120,2.81,25/75,medical
78121,4.72,25/75,medical
78122,7.14,25/75,medical
78130,5.74,25/75,medical
78135,6.22,25/75,medical
78140,5.64,25/75,medical
78185,4.34,25/75,medical
78191,8.19,25/75,medical
78195,7.06,25/75,medical
78199,BR,,medical
78201,5.10,25/75,medical
78202,5.61,25/75,medical
78205,10.46,20/80,medical
78206,11.50,20/80,medical
78215,7.01,25/75,medical
78216,8.19,25/75,medical
78226,14.12,11/89,medical
78227,19.33,9/91,medical
78230,4.31,25/75,medical
78231,4.49,25/75,medical
78232,4.59,25/75,medical
78258,6.43,25/75,medical
78261,6.07,25/75,medical
78262,6.63,25/75,medical
78264,6.81,25/75,medical
78265,17.24,12/88,medical
78266,20.54,11/89,medical
78267,0.48,0/100,medical
78268,4.10,0/100,medical
78270,2.73,25/75,medical
78271,2.88,25/75,medical
78272,3.37,25/75,medical
78278,7.73,25/75,medical
78282,4.28,25/75,medical
78290,5.87,25/75,medical
78291,5.10,25/75,medical
78299,BR,,medical
78300,5.87,30/70,medical
78305,7.27,30/70,medical
78306,7.78,30/70,medical
78315,8.29,30/70,medical
78320,10.25,20/80,medical
78350,2.73,30/70,medical
78351,3.75,30/70,medical
78399,BR,,medical
78414,6.63,30/70,medical
78428,5.23,30/70,medical
78445,6.30,30/70,medical
78451,8.67,30/70,medical
78452,14.28,21/79,medical
78453,7.40,15/85,medical
78454,7.27,34/66,medical
78456,12.37,13/87,medical
78457,5.25,30/70,medical
78458,8.19,30/70,medical
78459,5.89,30/70,medical
78466,7.93,30/70,medical
78468,7.27,30/70,medical
78469,8.49,20/80,medical
78472,8.31,30/70,medical
78473,14.97,30/70,medical
78481,8.80,30/70,medical
78483,18.11,30/70,medical
78491,17.01,16/84,medical
78492,21.45,16/84,medical
78494,14.13,30/70,medical
78496,2.78,30/70,medical
78499,BR,,medical
78579,7.51,13/87,medical
78580,6.43,25/75,medical
78582,13.84,16/84,medical
78597,8.46,17/83,medical
78598,12.99,13/87,medical
78599,BR,25/75,medical
78600,5.05,25/75,medical
78601,6.38,25/75,medical
78605,6.25,25/75,medical
78606,7.17,25/75,medical
78607,10.94,20/80,medical
78608,5.89,,medical
78609,5.89,,medical
78610,2.91,25/75,medical
78630,8.11,25/75,medical
78635,6.38,25/75,medical
78645,6.38,25/75,medical
78647,9.38,20/80,medical
78650,8.93,25/75,medical
78660,4.26,25/75,medical
78699,BR,,medical
78700,5.43,30/70,medical
78701,6.38,30/70,medical
78707,9.81,30/70,medical
78708,10.22,30/70,medical
78709,10.55,30/70,medical
78710,10.00,20/80,medical
78725,5.74,30/70,medical
78730,2.55,30/70,medical
78740,4.56,30/70,medical
78761,6.09,30/70,medical
78799,BR,,medical
78800,5.61,25/75,medical
78801,7.09,25/75,medical
78802,8.95,25/75,medical
78803,9.54,25/75,medical
78804,10.20,25/75,medical
78805,5.00,25/75,medical
78806,8.57,25/75,medical
78807,9.54,20/80,medical
78808,1.66,,medical
78811,17.09,12/88,medical
78812,21.17,12/88,medical
78813,21.93,12/88,medical
78814,21.42,12/88,medical
78815,23.58,12/88,medical
78816,24.22,12/88,medical
78999,BR,,medical
79005,8.62,45/55,medical
79101,8.98,60/40,medical
79200,9.08,50/50,medical
79300,5.25,60/40,medical
79403,10.20,60/40,medical
79440,7.65,60/40,medical
79445,8.62,55/45,medical
79999,BR,,medical
