code,relative value,pc/tc split,schedule
96000.0,0.00,0/100,medical
96001.0,0.00,0/100,medical
96002.0,0.00,0/100,medical
96003.0,0.00,0/100,medical
96004.0,0.00,,medical
96020.0,BR,0/100,medical
96040.0,9.67,,medical
96101.0,24.52,,medical
96102.0,11.16,,medical
96103.0,7.10,,medical
96105.0,18.50,,medical
96110.0,17.00,,medical
96111.0,19.87,,medical
96116.0,27.39,,medical
96118.0,29.59,,medical
96119.0,16.57,,medical
96120.0,12.18,,medical
96125.0,23.84,,medical
96127.0,1.23,,medical
96150.0,5.92,,medical
96151.0,2.96,,medical
96152.0,2.96,,medical
96153.0,4.23,,medical
96154.0,4.23,,medical
96155.0,4.23,,medical
96160.0,0.75,,medical
96161.0,0.75,,medical
96360.0,9.64,,medical
96361.0,4.06,,medical
96365.0,10.99,,medical
96366.0,5.07,,medical
96367.0,7.27,,medical
96368.0,4.23,,medical
96369.0,24.52,,medical
96370.0,2.87,,medical
96371.0,10.15,,medical
96372.0,2.71,,medical
96373.0,2.54,,medical
96374.0,7.78,,medical
96375.0,4.73,,medical
96376.0,2.03,,medical
96377.0,3.97,,medical
96379.0,BR,,medical
96401.0,5.58,,medical
96402.0,3.04,,medical
96405.0,10.65,,medical
96406.0,12.68,,medical
96409.0,10.32,,medical
96411.0,5.92,,medical
96413.0,14.88,,medical
96415.0,3.38,,medical
96416.0,15.90,,medical
96417.0,7.10,,medical
96420.0,11.33,,medical
96422.0,16.74,,medical
96423.0,6.76,,medical
96425.0,20.12,,medical
96440.0,29.59,,medical
96446.0,21.98,,medical
96450.0,26.13,,medical
96521.0,13.02,,medical
96522.0,9.47,,medical
96523.0,2.37,,medical
96542.0,18.60,,medical
96549.0,BR,,medical
96567.0,52.42,,medical
96570.0,13.11,,medical
96571.0,26.21,,medical
96573.0,36.73,,medical
96574.0,47.34,,medical
96900.0,3.21,,medical
96902.0,3.89,,medical
96904.0,15.22,,medical
96910.0,3.72,,medical
96912.0,4.31,,medical
96913.0,10.29,,medical
96920.0,42.28,,medical
96921.0,63.41,,medical
96922.0,46.50,,medical
96931.0,32.70,,medical
96932.0,23.74,,medical
96933.0,8.30,,medical
96934.0,14.37,,medical
96935.0,6.77,,medical
96936.0,7.94,,medical
96999.0,BR,,medical
97127.0,Refer to Rules,,medical
97533.0,Refer to Rules,,medical
97597.0,2.71,,medical
97598.0,3.21,,medical
97602.0,2.07,,medical
97605.0,4.40,,medical
97606.0,7.61,,medical
97607.0,9.92,,medical
97608.0,11.01,,medical
97610.0,25.93,,medical
97802.0,1.86,,medical
97803.0,1.86,,medical
97804.0,0.68,,medical
97810.0,3.55,,medical
97811.0,3.04,,medical
97813.0,3.89,,medical
97814.0,3.38,,medical
98925.0,4.57,,medical
98926.0,6.00,,medical
98927.0,7.10,,medical
98928.0,7.78,,medical
98929.0,8.12,,medical
98940.0,NC,,medical
98941.0,NC,,medical
98942.0,NC,,medical
98943.0,NC,,medical
98960.0,3.38,,medical
98961.0,4.06,,medical
98962.0,4.40,,medical
98966.0,5.07,,medical
98967.0,8.62,,medical
98968.0,10.99,,medical
