file	pages
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1385-2458.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1385-7460.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1385-9841.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1385-9844.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1386-1627.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1386-3380.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1386-3385.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1386-3386.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1386-5290.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1386-5347.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1387-6065.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1387-6069.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1387-6369.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1387-6661.pdf	25
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1388-0602.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1388-4649.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1389-7158.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1390-7630.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1390-9717.pdf	24
